"variable_name","type","type_estimated","category_levels","total_levels","unique","top","freq","count","not_null_%","mean","std","min","max","25%","50%","75%","#_of_outliers","bottom_5_text_values","top_5_text_values","comments"
"P_Diagnostic_A_Secondaire",,"numerical",,,57,"1J4",197,484,33.7,,,,,,,,,,," Warning! Mixed type variable."
"P_Diagnostic_A_Tertiaire",,"numerical",,,30,"1J4",30,79,5.5,,,,,,,,,,," Warning! Mixed type variable."
"P_Mal_1_Signe",,"date",,,151,"01/01/2012",93,1364,100,,,,,,,,,,,
"P_Mal_Age_1_Signe",,"numerical",,,,,,1364,100,65.5587,11.3779,16,91,57,66,74,3,,,
"Date_PL",,"date",,,26,"01/04/2016",17,201,100,,,,,,,,,,,
"Ab1-42",,"numerical",,,175,565,3,201,100,,,,,,,,,,," Warning! Mixed type variable."
"TAU",,"numerical",,,183,214,3,201,100,,,,,,,,,,," Warning! Mixed type variable."
"pTAU",,"numerical",,,113,110,6,201,100,,,,,,,,,,," Warning! Mixed type variable."
"IATI",,"numerical",,,130,0.61,5,198,98.51,,,,,,,,,,," Warning! Mixed type variable."
"Ab1-40",,"numerical",,,,,,82,40.8,13812.1585,5559.7041,3289,30429,9994.75,12666,17212,0,,,
"42/40",,"numerical",,,,,,81,40.3,0.0664,0.029,0.02,0.17,0.05,0.06,0.08,1,,,
